id,jlpt_level,word,reading,meaning,round2_review,source_file
n5_08097,N5,忙しい,いそがしい,"busy,irritated",NO,D:\codex-2\tup\NO\NO\n5_08097_忙しい_00003_.png
n5_08098,N5,悪い,わるい,bad,NO,D:\codex-2\tup\NO\NO\n5_08098_悪い_00003_.png
n5_08103,N5,手紙,てがみ,letter,NO,D:\codex-2\tup\NO\NO\n5_08103_手紙_00003_.png
n5_08104,N5,押す,おす,"to push, to stamp something",NO,D:\codex-2\tup\NO\NO\n5_08104_押す_00003_.png
n5_08105,N5,持つ,もつ,to hold,NO,D:\codex-2\tup\NO\NO\n5_08105_持つ_00003_.png
n5_08108,N5,撮る,とる,to take a photo or record a film,NO,D:\codex-2\tup\NO\NO\n5_08108_撮る_00003_.png
n5_08109,N5,教える,おしえる,"to teach,to tell",NO,D:\codex-2\tup\NO\NO\n5_08109_教える_00003_.png
n5_08111,N5,散歩,さんぽする,to stroll,NO,D:\codex-2\tup\NO\NO\n5_08111_散歩_00003_.png
n5_08114,N5,新しい,あたらしい,new,NO,D:\codex-2\tup\NO\NO\n5_08114_新しい_00003_.png
n5_08117,N5,旅行,りょこう,travel,NO,D:\codex-2\tup\NO\NO\n5_08117_旅行_00003_.png
n5_08119,N5,早い,はやい,early,NO,D:\codex-2\tup\NO\NO\n5_08119_早い_00003_.png
n5_08120,N5,明い,あかるい,bright,NO,D:\codex-2\tup\NO\NO\n5_08120_明い_00003_.png
n5_08122,N5,易しい,やさしい,"easy, simple",NO,D:\codex-2\tup\NO\NO\n5_08122_易しい_00003_.png
n5_08129,N5,昼御飯,ひるごはん,midday meal,NO,D:\codex-2\tup\NO\NO\n5_08129_昼御飯_00003_.png
n5_08136,N5,晴れる,はれる,to be sunny,NO,D:\codex-2\tup\NO\NO\n5_08136_晴れる_00003_.png
n5_08138,N5,暑い,あつい,hot,NO,D:\codex-2\tup\NO\NO\n5_08138_暑い_00003_.png
n5_08139,N5,暖かい,あたたかい,warm,NO,D:\codex-2\tup\NO\NO\n5_08139_暖かい_00003_.png
n5_08140,N5,暗い,くらい,gloomy,NO,D:\codex-2\tup\NO\NO\n5_08140_暗い_00003_.png
n5_08141,N5,曇り,くもり,cloudy weather,NO,D:\codex-2\tup\NO\NO\n5_08141_曇り_00003_.png
n5_08142,N5,曇る,くもる,"to become cloudy,to become dim",NO,D:\codex-2\tup\NO\NO\n5_08142_曇る_00003_.png
n5_08143,N5,曲る,まがる,"to turn,to bend",NO,D:\codex-2\tup\NO\NO\n5_08143_曲る_00003_.png
n5_08144,N5,書く,かく,to write,NO,D:\codex-2\tup\NO\NO\n5_08144_書く_00003_.png
n5_08146,N5,有名,ゆうめい,famous,NO,D:\codex-2\tup\NO\NO\n5_08146_有名_00003_.png
n5_08154,N5,机,つくえ,desk,NO,D:\codex-2\tup\NO\NO\n5_08154_机_00003_.png
n5_08162,N5,楽しい,たのしい,enjoyable,NO,D:\codex-2\tup\NO\NO\n5_08162_楽しい_00003_.png
n5_08168,N5,歌う,うたう,to sing,NO,D:\codex-2\tup\NO\NO\n5_08168_歌う_00003_.png
n5_08169,N5,止まる,とまる,to come to a halt,NO,D:\codex-2\tup\NO\NO\n5_08169_止まる_00003_.png
n5_08171,N5,歯,は,tooth,NO,D:\codex-2\tup\NO\NO\n5_08171_歯_00006_.png
n5_08172,N5,死ぬ,しぬ,to die,NO,D:\codex-2\tup\NO\NO\n5_08172_死ぬ_00003_.png
n5_08181,N5,汚い,きたない,dirty,NO,D:\codex-2\tup\NO\NO\n5_08181_汚い_00003_.png
n5_08183,N5,泳ぐ,およぐ,to swim,NO,D:\codex-2\tup\NO\NO\n5_08183_泳ぐ_00003_.png
n5_08184,N5,洋服,ようふく,western-style clothes,NO,D:\codex-2\tup\NO\NO\n5_08184_洋服_00003_.png
n5_08185,N5,洗う,あらう,to wash,NO,D:\codex-2\tup\NO\NO\n5_08185_洗う_00003_.png
n5_08187,N5,海,うみ,sea,NO,D:\codex-2\tup\NO\NO\n5_08187_海_00003_.png
n5_08188,N5,消える,きえる,to disappear,NO,D:\codex-2\tup\NO\NO\n5_08188_消える_00003_.png
n5_08189,N5,消す,けす,"to erase,to turn off power",NO,D:\codex-2\tup\NO\NO\n5_08189_消す_00003_.png
n5_08190,N5,涼しい,すずしい,refreshing,NO,D:\codex-2\tup\NO\NO\n5_08190_涼しい_00003_.png
n5_08191,N5,渡す,わたす,to hand over,NO,D:\codex-2\tup\NO\NO\n5_08191_渡す_00003_.png
n5_08192,N5,渡る,わたる,to go across,NO,D:\codex-2\tup\NO\NO\n5_08192_渡る_00003_.png
n5_08193,N5,温い,ぬるい,luke warm,NO,D:\codex-2\tup\NO\NO\n5_08193_温い_00003_.png
n5_08197,N5,無くす,なくす,to lose something,NO,D:\codex-2\tup\NO\NO\n5_08197_無くす_00003_.png
n5_08198,N5,煩い,うるさい,"noisy,annoying",NO,D:\codex-2\tup\NO\NO\n5_08198_煩い_00003_.png
n5_08199,N5,熱い,あつい,hot to the touch,NO,D:\codex-2\tup\NO\NO\n5_08199_熱い_00003_.png
n5_08204,N5,狭い,せまい,narrow,NO,D:\codex-2\tup\NO\NO\n5_08204_狭い_00003_.png
n5_08207,N5,甘い,あまい,sweet,NO,D:\codex-2\tup\NO\NO\n5_08207_甘い_00003_.png
n5_08208,N5,生まれる,うまれる,to be born,NO,D:\codex-2\tup\NO\NO\n5_08208_生まれる_00003_.png
n5_08213,N5,留学生,りゅうがくせい,overseas student,NO,D:\codex-2\tup\NO\NO\n5_08213_留学生_00003_.png
n5_08215,N5,疲れる,つかれる,to get tired,NO,D:\codex-2\tup\NO\NO\n5_08215_疲れる_00003_.png
n5_08218,N5,痛い,いたい,painful,NO,D:\codex-2\tup\NO\NO\n5_08218_痛い_00003_.png
n5_08219,N5,登る,のぼる,to climb,NO,D:\codex-2\tup\NO\NO\n5_08219_登る_00003_.png
n5_08221,N5,白い,しろい,white,NO,D:\codex-2\tup\NO\NO\n5_08221_白い_00003_.png
n5_08226,N5,着く,つく,to arrive at,NO,D:\codex-2\tup\NO\NO\n5_08226_着く_00003_.png
n5_08227,N5,着る,きる,to put on from the shoulders down,NO,D:\codex-2\tup\NO\NO\n5_08227_着る_00003_.png
n5_08228,N5,知る,しる,to know,NO,D:\codex-2\tup\NO\NO\n5_08228_知る_00003_.png
n5_08229,N5,短い,みじかい,short,NO,D:\codex-2\tup\NO\NO\n5_08229_短い_00003_.png
n5_08231,N5,磨く,みがく,"to brush teeth, to polish",NO,D:\codex-2\tup\NO\NO\n5_08231_磨く_00003_.png
n5_08236,N5,立つ,たつ,to stand,NO,D:\codex-2\tup\NO\NO\n5_08236_立つ_00003_.png
n5_08237,N5,答える,こたえる,to answer,NO,D:\codex-2\tup\NO\NO\n5_08237_答える_00003_.png
n5_08241,N5,細い,ほそい,thin,NO,D:\codex-2\tup\NO\NO\n5_08241_細い_00003_.png
n5_08244,N5,結構,けっこう,"splendid,enough",NO,D:\codex-2\tup\NO\NO\n5_08244_結構_00003_.png
n5_08247,N5,締める,しめる,to tie,NO,D:\codex-2\tup\NO\NO\n5_08247_締める_00003_.png
n5_08248,N5,練習,れんしゅうする,to practice,NO,D:\codex-2\tup\NO\NO\n5_08248_練習_00003_.png
n5_08249,N5,置く,おく,to put,NO,D:\codex-2\tup\NO\NO\n5_08249_置く_00003_.png
