id,word,reading,meaning,image_review
n4_07613,見つける,みつける,to discover,NO PICTURE
n4_07618,触る,さわる,to touch,NO PICTURE
n4_07619,計画,けいかく・する,to plan,NO PICTURE
n4_07620,訪ねる,たずねる,to visit,NO PICTURE
n4_07626,調べる,しらべる,to investigate,NO PICTURE
n4_07629,謝る,あやまる,to apologize,NO PICTURE
n4_07631,負ける,まける,to lose,NO PICTURE
n4_07635,起す,おこす,to wake,NO PICTURE
n4_07637,足す,たす,to add a number,NO PICTURE
n4_07638,足りる,たりる,to be enough,NO PICTURE
n4_07640,踊る,おどる,to dance,OK
n4_07641,踏む,ふむ,to step on,NO PICTURE
n4_07642,輸入,ゆにゅう・する,to import,NO PICTURE
n4_07643,輸出,ゆしゅつ・する,to export,NO PICTURE
n4_07646,迎える,むかえる,to go out to meet,NO PICTURE
n4_07650,送る,おくる,to send,NO PICTURE
n4_07651,逃げる,にげる,to escape,NO PICTURE
n4_07653,通う,かよう,to commute,NO PICTURE
n4_07654,通る,とおる,to go through,NO PICTURE
n4_07655,連れる,つれる,to lead,NO PICTURE
n4_07657,進む,すすむ,to make progress,NO PICTURE
n4_07658,遅れる,おくれる,to be late,NO PICTURE
n4_07660,運ぶ,はこぶ,to transport,NO PICTURE
n4_07661,運動,うんどう・する,to exercise,NO PICTURE
n4_07662,運転,うんてん・する,to drive,OK
n4_07664,過ぎる,すぎる,to exceed,NO PICTURE
n4_07667,遠慮,えんりょ・する,"to be reserved, to be restrained",NO PICTURE
n4_07669,選ぶ,えらぶ,to choose,NO PICTURE
n4_07674,釣る,つる,to fish,OK
n4_07676,開く,ひらく,to open an event,NO PICTURE
n4_07678,間に合う,まにあう,to be in time for,NO PICTURE
n4_07679,間違える,まちがえる,to make a mistake,NO PICTURE
n4_07681,降り出す,ふりだす,to start to rain,NO PICTURE
n4_07683,集める,あつめる,to collect something,NO PICTURE
n4_07684,集る,あつまる,to gather,NO PICTURE
n4_07693,飾る,かざる,to decorate,NO PICTURE
n4_07696,騒ぐ,さわぐ,"to make noise,to be excited",NO PICTURE
n4_07697,驚く,おどろく,to be surprised,NO PICTURE
n4_07702,鳴る,なる,to sound,NO PICTURE
n4_07076,あんな,あんな,such,NO PICTURE
n4_07084,うまい,うまい,delicious,NO PICTURE
n4_07085,うれしい,うれしい,glad,NO PICTURE
n4_07089,おかしい,おかしい / オカシイ,strange or funny,NO PICTURE
n4_07128,すばらしい,すばらしい / すんばらしい,wonderful,NO PICTURE
n4_07139,そんな,そんな,that sort of,NO PICTURE
n4_07144,だめ,だめ / ダメ / だーめ,no good,NO PICTURE
n4_07159,ねっしん,ねっしん,enthusiasm,NO PICTURE
n4_07164,ひどい,ひどい / ヒドイ / ヒドい,awful,NO PICTURE
n4_07170,まじめ,まじめ / マジメ,serious,NO PICTURE
n4_07180,よろしい,よろしい,"(respectful) OK,all right",NO PICTURE
n4_07225,丁寧,ていねい,polite,NO PICTURE
n4_07232,不便,ふべん,inconvenience,NO PICTURE
n4_07273,優しい,やさしい,kind,NO PICTURE
n4_07284,凄い,すごい,terrific,NO PICTURE
n4_07300,危険,きけん,danger,NO PICTURE
n4_07302,厳しい,きびしい,strict,NO PICTURE
n4_07333,変,へん,strange,NO PICTURE
n4_07337,大事,だいじ,"important,valuable,serious matter",NO PICTURE
n4_07352,安全,あんぜん,safety,NO PICTURE
n4_07356,寂しい,さびしい,lonely,NO PICTURE
n4_07392,必要,ひつよう,necessary,NO PICTURE
n4_07395,怖い,こわい,frightening,NO PICTURE
n4_07398,急,きゅう,"urgent, steep",NO PICTURE
n4_07401,恥ずかしい,はずかしい,embarrassed,NO PICTURE
n4_07403,悲しい,かなしい,sad,NO PICTURE
n4_07458,柔らかい,やわらかい,soft,NO PICTURE
n4_07465,楽しみ,たのしみ,joy,NO PICTURE
n4_07470,正しい,ただしい,correct,NO PICTURE
n4_07474,残念,ざんねん,disappointment,NO PICTURE
n4_07497,浅い,あさい,"shallow,superficial",NO PICTURE
n4_07500,深い,ふかい,deep,NO PICTURE
n4_07514,無理,むり,impossible,NO PICTURE
n4_07522,珍しい,めずらしい,rare,NO PICTURE
n4_07542,盛ん,さかん,"popularity,prosperous",NO PICTURE
n4_07548,眠い,ねむい,sleepy,NO PICTURE
n4_07556,確か,たしか,definite,NO PICTURE
n4_07572,簡単,かんたん,simple,NO PICTURE
n4_07576,細かい,こまかい,"small, fine",NO PICTURE
n4_07585,美しい,うつくしい,beautiful,NO PICTURE
n4_07594,自由,じゆう,freedom,NO PICTURE
n4_07599,苦い,にがい,bitter,NO PICTURE
n4_07609,複雑,ふくざつ,"complexity,complication",NO PICTURE
n4_07617,親切,しんせつ,kindness,NO PICTURE
n4_07668,適当,てきとう,suitability,NO PICTURE
